what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1508757663074
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1508757663074
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1508757663076
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1508757663077
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1508757663077
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1508757663079
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1508757663079
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1508757663080
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1508757663081
started,bundle,com.python.pydev.analysis,2.8.2.2013090511,"com.python.pydev.analysis",1508757663081
started,bundle,org.python.pydev,2.8.2.2013090511,"org.python.pydev",1508757663082
started,bundle,org.python.pydev.core,2.8.2.2013090511,"org.python.pydev.core",1508757663083
started,bundle,org.python.pydev.shared_core,2.8.2.2013090511,"org.python.pydev.shared_core",1508757663083
started,bundle,org.python.pydev.shared_ui,2.8.2.2013090511,"org.python.pydev.shared_ui",1508757663084
os,sysinfo,,,"linux",1508757663099
arch,sysinfo,,,"x86_64",1508757663099
ws,sysinfo,,,"gtk",1508757663099
locale,sysinfo,,,"en_US",1508757663099
processors,sysinfo,,,"1",1508757663101
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1508757663102
java.runtime.version,sysinfo,,,"1.6.0_36-b36",1508757663102
java.specification.name,sysinfo,,,"Java Platform API Specification",1508757663102
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1508757663102
java.specification.version,sysinfo,,,"1.6",1508757663102
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1508757663102
java.version,sysinfo,,,"1.6.0_36",1508757663102
java.vm.info,sysinfo,,,"mixed mode",1508757663102
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1508757663102
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1508757663102
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1508757663102
java.vm.specification.version,sysinfo,,,"1.0",1508757663102
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1508757663102
java.vm.version,sysinfo,,,"23.25-b01",1508757663102
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1508757758000
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1508757758097
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1508757758172
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508757769384
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1508757770364
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1508757770375
